period,e_period,posterior_prob
62.76775285200497,0.00013019501787129008,0.036793769284654936
61.158323291697144,0.00012685668407972603,0.03934247947381565
59.629365209404725,0.00012368526697771455,0.042044965733164325
58.17499044819973,0.00012066855314897736,0.04455754610060055
56.78987162800449,0.00011779549235974478,0.04676933081327055
55.469176938981136,0.00011505606230486579,0.048760938983699306
54.20851382673156,0.00011244115179796107,0.050733419860500284
53.003880186137536,0.0001099424595357775,0.05283976889263013
51.85162192122149,0.00010755240606760303,0.0550442623136903
50.74839592289763,0.00010526405700233124,0.05716284398842553
49.691137674503935,0.00010307105581478442,0.059045263083385195
48.67703282400385,0.00010096756487975657,0.06069835430438393
47.70349216752378,9.894821358220113e-05,0.06229966988745104
46.7681295760037,9.700805253154714e-05,0.0640806400464537
45.868742468772865,9.514251305979244e-05,0.06619366653178888
45.00329449766394,9.3347371303949e-05,0.06863436496283454
44.169900155114604,9.161871627979985e-05,0.07124422033578476
